 #  Results from PENEPMA. Phi rho z distribution.
 #
 #  Z = 29, S1 =  1, S2 =  4
 #
 #  Angular intervals : theta_1 = 4.000000E+01,  theta_2 = 6.000000E+01
 #                        phi_1 = 0.000000E+00,    phi_2 = 3.600000E+02
 #
 # Intensities of characteristic lines. All in 1/(cm*sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #    E = emitted; G = generated;
 #  unc = statistical uncertainty (3 sigma).
 #
 # D (cm)     DF (cm)    PE            unc       PG            unc       CE            unc       CG            unc       BE            unc       BG            unc       TFE           unc       TFG           unc       TE            unc       TG            unc
   3.903E-05  7.807E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.408043E-04  4.39E-05  1.094092E-03  2.09E-05  6.408043E-04  4.39E-05  1.094092E-03  2.09E-05  5.945309E-01  1.94E-01  6.831847E-01  7.60E-02
   3.969E-05  7.939E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.130740E-04  4.30E-05  1.060627E-03  2.06E-05  6.130740E-04  4.30E-05  1.060627E-03  2.06E-05  7.459531E-01  2.18E-01  6.492883E-01  7.41E-02
   4.036E-05  8.071E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  6.003782E-04  4.25E-05  1.045649E-03  2.05E-05  6.003782E-04  4.25E-05  1.045649E-03  2.05E-05  7.101910E-01  2.13E-01  6.888096E-01  7.64E-02
   4.102E-05  8.203E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.646295E-04  4.12E-05  1.027250E-03  2.03E-05  5.646295E-04  4.12E-05  1.027250E-03  2.03E-05  6.234292E-01  1.99E-01  6.195221E-01  7.23E-02
   4.168E-05  8.336E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.402402E-04  4.03E-05  9.894736E-04  1.99E-05  5.402402E-04  4.03E-05  9.894736E-04  1.99E-05  6.379452E-01  2.01E-01  5.933272E-01  7.08E-02
   4.234E-05  8.468E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.288807E-04  3.99E-05  9.591637E-04  1.96E-05  5.288807E-04  3.99E-05  9.591637E-04  1.96E-05  4.858749E-01  1.75E-01  5.750090E-01  6.96E-02
   4.300E-05  8.600E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  5.145144E-04  3.93E-05  9.424532E-04  1.94E-05  5.145144E-04  3.93E-05  9.424532E-04  1.94E-05  5.651515E-01  1.89E-01  5.720859E-01  6.94E-02
   4.366E-05  8.733E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.710814E-04  3.76E-05  9.109877E-04  1.91E-05  4.710814E-04  3.76E-05  9.109877E-04  1.91E-05  5.364336E-01  1.84E-01  5.565361E-01  6.85E-02
   4.433E-05  8.865E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.817726E-04  3.81E-05  8.930329E-04  1.89E-05  4.817726E-04  3.81E-05  8.930329E-04  1.89E-05  4.350356E-01  1.65E-01  5.458990E-01  6.78E-02
   4.499E-05  8.997E-04  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  0.000000E+00  0.00E+00  4.406783E-04  3.64E-05  8.666339E-04  1.86E-05  4.406783E-04  3.64E-05  8.666339E-04  1.86E-05  5.575260E-01  1.88E-01  5.246284E-01  6.64E-02
